,id,name,timestamp,open,high,low,close,volume
0,bitcoin,Bitcoin,2025-02-20,96554.87156259285,96554.87156259285,96554.87156259285,96554.87156259285,27703222487.389572
1,bitcoin,Bitcoin,2025-02-21,98384.31738240314,98384.31738240314,98384.31738240314,98384.31738240314,24175261969.81266
2,bitcoin,Bitcoin,2025-02-22,96135.15541305285,96135.15541305285,96135.15541305285,96135.15541305285,42477472950.92155
3,bitcoin,Bitcoin,2025-02-23,96564.15414290235,96564.15414290235,96564.15414290235,96564.15414290235,18464415570.762142
4,bitcoin,Bitcoin,2025-02-24,96327.46309127835,96327.46309127835,96327.46309127835,96327.46309127835,16643044374.983364
5,bitcoin,Bitcoin,2025-02-25,91396.76686930266,91396.76686930266,91396.76686930266,91396.76686930266,45539703844.38777
6,bitcoin,Bitcoin,2025-02-26,88755.7693356979,88755.7693356979,88755.7693356979,88755.7693356979,96742453402.56294
7,bitcoin,Bitcoin,2025-02-27,83900.11496524839,83900.11496524839,83900.11496524839,83900.11496524839,69277430795.68657
8,bitcoin,Bitcoin,2025-02-28,84709.14477847965,84709.14477847965,84709.14477847965,84709.14477847965,81960688217.70384
9,bitcoin,Bitcoin,2025-03-01,84441.9012237131,84441.9012237131,84441.9012237131,84441.9012237131,80695237175.07367
10,bitcoin,Bitcoin,2025-03-02,86005.25629681018,86005.25629681018,86005.25629681018,86005.25629681018,30634474722.6359
11,bitcoin,Bitcoin,2025-03-03,94261.53286538439,94261.53286538439,94261.53286538439,94261.53286538439,61859112550.80991
12,bitcoin,Bitcoin,2025-03-04,86124.71418722175,86124.71418722175,86124.71418722175,86124.71418722175,68715362745.4567
13,bitcoin,Bitcoin,2025-03-05,87310.80531078295,87310.80531078295,87310.80531078295,87310.80531078295,65863356680.42408
14,bitcoin,Bitcoin,2025-03-06,90604.08098523637,90604.08098523637,90604.08098523637,90604.08098523637,51606642859.81411
15,bitcoin,Bitcoin,2025-03-07,90001.40087607042,90001.40087607042,90001.40087607042,90001.40087607042,47555759124.64708
16,bitcoin,Bitcoin,2025-03-08,86773.33597555371,86773.33597555371,86773.33597555371,86773.33597555371,63216440874.73251
17,bitcoin,Bitcoin,2025-03-09,86142.9833586432,86142.9833586432,86142.9833586432,86142.9833586432,18809360803.37126
18,bitcoin,Bitcoin,2025-03-10,80751.13893300897,80751.13893300897,80751.13893300897,80751.13893300897,32013406240.51754
19,bitcoin,Bitcoin,2025-03-11,78783.94057934263,78783.94057934263,78783.94057934263,78783.94057934263,49983692766.22745
20,bitcoin,Bitcoin,2025-03-12,82799.1080292053,82799.1080292053,82799.1080292053,82799.1080292053,56404462275.083046
21,bitcoin,Bitcoin,2025-03-13,83884.24578828987,83884.24578828987,83884.24578828987,83884.24578828987,41782186208.59073
22,bitcoin,Bitcoin,2025-03-14,81098.90052436228,81098.90052436228,81098.90052436228,81098.90052436228,32583592654.882656
23,bitcoin,Bitcoin,2025-03-15,83971.70916064628,83971.70916064628,83971.70916064628,83971.70916064628,28571483950.074646
24,bitcoin,Bitcoin,2025-03-16,84391.69087647168,84391.69087647168,84391.69087647168,84391.69087647168,10761796127.312485
25,bitcoin,Bitcoin,2025-03-17,82610.61750343916,82610.61750343916,82610.61750343916,82610.61750343916,21638031633.118767
26,bitcoin,Bitcoin,2025-03-18,84075.36559694471,84075.36559694471,84075.36559694471,84075.36559694471,19659366246.596867
27,bitcoin,Bitcoin,2025-03-19,82780.03048688271,82780.03048688271,82780.03048688271,82780.03048688271,24557570268.85276
28,bitcoin,Bitcoin,2025-03-20,86815.44109470697,86815.44109470697,86815.44109470697,86815.44109470697,33871216993.304657
29,bitcoin,Bitcoin,2025-03-21,84270.84358966233,84270.84358966233,84270.84358966233,84270.84358966233,27579127651.06656
30,bitcoin,Bitcoin,2025-03-22,84009.532917822,84009.532917822,84009.532917822,84009.532917822,18091004975.919056
31,bitcoin,Bitcoin,2025-03-23,83793.30854192551,83793.30854192551,83793.30854192551,83793.30854192551,7771134681.982918
32,bitcoin,Bitcoin,2025-03-24,85787.70914901773,85787.70914901773,85787.70914901773,85787.70914901773,12617587530.619724
33,bitcoin,Bitcoin,2025-03-25,87327.72969669085,87327.72969669085,87327.72969669085,87327.72969669085,27270889835.1835
34,bitcoin,Bitcoin,2025-03-26,87520.58391530563,87520.58391530563,87520.58391530563,87520.58391530563,30351832942.705593
35,bitcoin,Bitcoin,2025-03-27,86960.8555491039,86960.8555491039,86960.8555491039,86960.8555491039,25522877558.700558
36,bitcoin,Bitcoin,2025-03-28,87227.27158032371,87227.27158032371,87227.27158032371,87227.27158032371,24620445368.489468
37,bitcoin,Bitcoin,2025-03-29,84359.46915506005,84359.46915506005,84359.46915506005,84359.46915506005,31674486232.097313
38,bitcoin,Bitcoin,2025-03-30,82679.17255385047,82679.17255385047,82679.17255385047,82679.17255385047,16837439419.924389
39,bitcoin,Bitcoin,2025-03-31,82356.38111183756,82356.38111183756,82356.38111183756,82356.38111183756,13428975108.070734
40,bitcoin,Bitcoin,2025-04-01,82514.09365397849,82514.09365397849,82514.09365397849,82514.09365397849,30326148749.91535
41,bitcoin,Bitcoin,2025-04-02,85237.5876052852,85237.5876052852,85237.5876052852,85237.5876052852,29172899851.734768
42,bitcoin,Bitcoin,2025-04-03,82526.4221526433,82526.4221526433,82526.4221526433,82526.4221526433,46332905657.77597
43,bitcoin,Bitcoin,2025-04-04,83163.98757387721,83163.98757387721,83163.98757387721,83163.98757387721,36594464539.14662
44,bitcoin,Bitcoin,2025-04-05,83852.00765399594,83852.00765399594,83852.00765399594,83852.00765399594,35647289400.47406
45,bitcoin,Bitcoin,2025-04-06,83595.88550177493,83595.88550177493,83595.88550177493,83595.88550177493,14910400035.531416
46,bitcoin,Bitcoin,2025-04-07,78211.48358199988,78211.48358199988,78211.48358199988,78211.48358199988,36140377231.68329
47,bitcoin,Bitcoin,2025-04-08,79179.29226757778,79179.29226757778,79179.29226757778,79179.29226757778,82909748172.59216
48,bitcoin,Bitcoin,2025-04-09,76329.090356324,76329.090356324,76329.090356324,76329.090356324,47812787635.22632
49,bitcoin,Bitcoin,2025-04-10,82622.17029546302,82622.17029546302,82622.17029546302,82622.17029546302,87408220482.11568
50,bitcoin,Bitcoin,2025-04-11,79596.35732250768,79596.35732250768,79596.35732250768,79596.35732250768,41213520154.25157
51,bitcoin,Bitcoin,2025-04-12,83439.28818043756,83439.28818043756,83439.28818043756,83439.28818043756,39813566443.76779
52,bitcoin,Bitcoin,2025-04-13,85305.09728392666,85305.09728392666,85305.09728392666,85305.09728392666,22428929482.069122
53,bitcoin,Bitcoin,2025-04-14,83600.82010054543,83600.82010054543,83600.82010054543,83600.82010054543,28731125717.934357
54,bitcoin,Bitcoin,2025-04-15,84523.4524914945,84523.4524914945,84523.4524914945,84523.4524914945,33155578229.343513
55,bitcoin,Bitcoin,2025-04-16,83656.49248858042,83656.49248858042,83656.49248858042,83656.49248858042,25084671427.622566
